Timestamp,SequenceNumber,MavlinkCommand,IPSourceHost,TCPSourcePort,IPDestHost,TCPDestPort,PacketLength
1679497278.777791221,3927581695,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497278.836326174,3927581764,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497278.836364117,3927581893,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497278.836393032,3927581962,30,172.16.0.8,5760,10.241.115.1,38510,92
1679497278.876257505,3927582002,74,172.16.0.8,5760,10.241.115.1,38510,308
1679497278.876334279,3927582258,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497278.885340886,3927582387,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497278.918574939,3927582456,1,172.16.0.8,5760,10.241.115.1,38510,241
1679497278.918617981,3927582645,27,172.16.0.8,5760,10.241.115.1,38510,93
1679497278.919756850,3927582686,29,172.16.0.8,5760,10.241.115.1,38510,114
1679497278.956238011,3927582748,102,172.16.0.8,5760,10.241.115.1,38510,348
1679497278.965336913,3927583044,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497278.965401774,3927583173,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497278.992546208,3927583242,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497279.001505948,3927583371,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497279.010484907,3927583440,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497279.010510815,3927583569,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497279.015320129,3927583638,30,172.16.0.8,5760,10.241.115.1,38510,92
1679497279.015341664,3927583678,74,172.16.0.8,5760,10.241.115.1,38510,82
1679497279.015350007,3927583708,,172.16.0.8,5760,10.241.115.1,38510,80
1679497279.036572770,3927583736,33,172.16.0.8,5760,10.241.115.1,38510,92
1679497279.036633613,3927583776,2,172.16.0.8,5760,10.241.115.1,38510,75
1679497279.036643002,3927583799,,172.16.0.8,5760,10.241.115.1,38510,92
1679497279.036650215,3927583839,,172.16.0.8,5760,10.241.115.1,38510,66
1679497279.036657446,3927583853,136,172.16.0.8,5760,10.241.115.1,38510,86
1679497279.076438063,3927583887,,172.16.0.8,5760,10.241.115.1,38510,356
1679497279.085281842,3927584191,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497279.085311855,3927584320,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497279.085321170,3927584389,0,172.16.0.8,5760,10.241.115.1,38510,73
1679497279.100344436,4045123991,66,10.241.115.1,38510,172.16.0.8,5760,70
1679497279.116741312,3927584410,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497279.116838331,3927584539,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497279.116857257,3927584608,30,172.16.0.8,5760,10.241.115.1,38510,92
1679497279.116866233,3927584648,74,172.16.0.8,5760,10.241.115.1,38510,82
1679497279.125502435,3927584678,,172.16.0.8,5760,10.241.115.1,38510,80
1679497279.157245444,3927584706,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497279.157493076,3927584835,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497279.196711004,3927584904,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497279.196898461,3927585033,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497279.236603608,3927585102,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497279.236872749,3927585231,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497279.236920702,3927585300,30,172.16.0.8,5760,10.241.115.1,38510,92
1679497279.236956920,3927585340,74,172.16.0.8,5760,10.241.115.1,38510,82
1679497279.245390976,3927585370,,172.16.0.8,5760,10.241.115.1,38510,80
1679497279.255193587,3927585398,102,172.16.0.8,5760,10.241.115.1,38510,250
1679497279.276385712,3927585596,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497279.285070957,3927585725,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497279.319639858,3927585794,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497279.319729372,3927585923,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497279.319749130,3927585992,30,172.16.0.8,5760,10.241.115.1,38510,92
1679497279.319757036,3927586032,74,172.16.0.8,5760,10.241.115.1,38510,82
1679497279.342490145,3927586062,,172.16.0.8,5760,10.241.115.1,38510,80
1679497279.360232709,3927586090,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497279.360283223,3927586219,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497279.360305813,3927586288,33,172.16.0.8,5760,10.241.115.1,38510,92
1679497279.369235912,3927586328,2,172.16.0.8,5760,10.241.115.1,38510,75
1679497279.369266868,3927586351,,172.16.0.8,5760,10.241.115.1,38510,92
1679497279.378501788,3927586391,,172.16.0.8,5760,10.241.115.1,38510,206
1679497279.378524104,3927586545,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497279.378536188,3927586674,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497279.385298058,3927586743,1,172.16.0.8,5760,10.241.115.1,38510,95
1679497279.385386664,3927586786,125,172.16.0.8,5760,10.241.115.1,38510,69
1679497279.385399074,3927586803,,172.16.0.8,5760,10.241.115.1,38510,70
1679497279.385407408,3927586821,62,172.16.0.8,5760,10.241.115.1,38510,72
1679497279.395111262,3927586841,42,172.16.0.8,5760,10.241.115.1,38510,246
1679497279.436128227,3927587035,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497279.436190461,3927587164,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497279.436201650,3927587233,30,172.16.0.8,5760,10.241.115.1,38510,92
1679497279.436213231,3927587273,74,172.16.0.8,5760,10.241.115.1,38510,82
1679497279.445307741,3927587303,,172.16.0.8,5760,10.241.115.1,38510,80
1679497279.445351700,3927587331,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497279.454313284,3927587460,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497279.515834153,3927587529,242,172.16.0.8,5760,10.241.115.1,38510,120
1679497279.515926964,3927587597,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497279.515979052,3927587726,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497279.524406892,3927587795,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497279.524506516,3927587924,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497279.524596455,3927587993,30,172.16.0.8,5760,10.241.115.1,38510,92
1679497279.524681273,3927588033,74,172.16.0.8,5760,10.241.115.1,38510,82
1679497279.524693527,3927588063,,172.16.0.8,5760,10.241.115.1,38510,80
1679497279.556632844,3927588091,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497279.556694401,3927588220,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497279.596861091,3927588289,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497279.596969131,3927588418,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497279.620276586,4045124009,0,10.241.115.1,38510,172.16.0.8,5760,91
1679497279.636544189,3927588487,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497279.636639374,3927588616,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497279.636651895,3927588685,30,172.16.0.8,5760,10.241.115.1,38510,92
1679497279.636660530,3927588725,74,172.16.0.8,5760,10.241.115.1,38510,82
1679497279.645293390,3927588755,,172.16.0.8,5760,10.241.115.1,38510,80
1679497279.645353485,3927588783,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497279.645364860,3927588912,103,172.16.0.8,5760,10.241.115.1,38510,121
